episode,total_reward,avg_wait,avg_loss,epsilon
203,-2.0953,55.89,0.000169,0.666
204,-2.1219,64.46,0.000178,0.6647
205,-2.1359,61.78,0.000163,0.6634
206,-2.2937,69.44,0.000169,0.6621
207,-2.1781,59.09,0.000172,0.6607
208,-2.3891,84.46,0.000174,0.6594
209,-2.3484,65.74,0.000178,0.6581
210,-2.1562,56.72,0.000169,0.6568
211,-2.4391,73.99,0.000171,0.6555
212,-2.0875,64.49,0.000171,0.6541
213,-2.4297,67.89,0.000174,0.6528
214,-1.9625,54.12,0.000163,0.6515
215,-2.3297,63.77,0.000149,0.6502
216,-2.3516,67.68,0.000152,0.6489
217,-1.9984,50.09,0.000161,0.6476
218,-2.1516,57.16,0.000172,0.6463
219,-2.2953,68.02,0.000157,0.645
220,-2.3375,70.52,0.000144,0.6438
221,-2.0609,58.82,0.000165,0.6425
222,-2.1594,61.44,0.000169,0.6412
223,-2.5141,78.4,0.000142,0.6399
224,-2.1078,54.52,0.000157,0.6386
225,-2.6797,85.28,0.000165,0.6373
226,-2.1828,56.53,0.000157,0.6361
227,-2.2312,66.81,0.000173,0.6348
228,-2.0078,53.06,0.000144,0.6335
229,-2.0219,58.22,0.000151,0.6323
230,-2.4281,79.03,0.000171,0.631
231,-2.1656,60.52,0.000158,0.6297
232,-2.1375,57.17,0.000175,0.6285
233,-1.95,52.5,0.000159,0.6272
234,-2.2891,65.84,0.000171,0.626
235,-2.0047,52.38,0.000162,0.6247
236,-2.3156,66.58,0.000143,0.6235
237,-2.2469,67.44,0.00015,0.6222
238,-2.0609,56.94,0.000176,0.621
239,-2.1922,67.97,0.000154,0.6197
240,-2.3234,60.88,0.000163,0.6185
241,-2.1047,57.66,0.000176,0.6172
242,-1.9016,47.99,0.00018,0.616
243,-2.0281,55.96,0.000162,0.6148
244,-2.3547,71.59,0.000176,0.6136
245,-2.0953,59.34,0.000177,0.6123
246,-2.3531,65.99,0.000156,0.6111
247,-2.3406,69.73,0.000169,0.6099
248,-1.7344,43.45,0.000137,0.6087
249,-2.3437,83.14,0.000133,0.6074
250,-2.1344,64.65,0.000164,0.6062
251,-2.3984,69.58,0.000162,0.605
252,-2.05,56.38,0.000155,0.6038
253,-1.9469,45.05,0.00016,0.6026
254,-2.5562,83.39,0.000146,0.6014
255,-2.2687,65.15,0.000163,0.6002
256,-1.9875,50.25,0.000155,0.599
257,-1.9109,51.41,0.000132,0.5978
258,-2.4141,73.35,0.00016,0.5966
259,-2.2844,76.58,0.000153,0.5954
260,-2.25,66.82,0.000146,0.5942
261,-2.4656,70.14,0.00015,0.593
262,-2.1219,58.91,0.000134,0.5918
263,-1.9969,55.61,0.00015,0.5907
264,-2.0,48.68,0.000189,0.5895
265,-2.2453,56.65,0.000187,0.5883
266,-2.3828,67.79,0.000156,0.5871
267,-1.8984,46.41,0.000152,0.5859
268,-2.0547,54.35,0.000159,0.5848
269,-2.0,56.72,0.000167,0.5836
270,-2.1109,57.71,0.00014,0.5824
271,-1.9859,51.88,0.000163,0.5813
272,-1.8484,46.18,0.000169,0.5801
273,-2.6875,86.92,0.00015,0.5789
274,-2.1609,56.68,0.000162,0.5778
275,-2.0531,55.15,0.000162,0.5766
276,-2.3437,62.82,0.000179,0.5755
277,-2.2,61.0,0.000158,0.5743
278,-1.8578,51.9,0.000169,0.5732
279,-2.1078,60.79,0.000177,0.572
280,-2.0656,51.79,0.000167,0.5709
281,-2.075,55.96,0.000179,0.5697
282,-1.8812,55.14,0.000197,0.5686
283,-2.1281,59.38,0.000161,0.5675
284,-1.9203,53.96,0.00016,0.5663
285,-2.1219,63.48,0.000145,0.5652
286,-1.9922,53.87,0.000144,0.5641
287,-2.0891,53.8,0.000177,0.5629
288,-1.9641,49.8,0.000143,0.5618
289,-1.9828,51.55,0.000148,0.5607
290,-1.9031,49.37,0.000187,0.5596
291,-2.0469,52.16,0.000177,0.5585
292,-2.0797,50.49,0.000163,0.5573
293,-1.9703,53.44,0.000169,0.5562
294,-1.8922,46.46,0.000195,0.5551
295,-2.2047,62.99,0.000157,0.554
296,-1.8922,46.3,0.000172,0.5529
297,-2.0156,47.0,0.000176,0.5518
298,-1.9641,59.4,0.000193,0.5507
299,-1.6562,42.24,0.000139,0.5496
300,-1.8609,49.21,0.000141,0.5485
301,-2.15,55.57,0.000162,0.5474
302,-2.1969,55.8,0.000159,0.5463
303,-1.6578,38.89,0.000161,0.5452
304,-1.9609,57.04,0.000148,0.5441
305,-2.3062,72.11,0.000164,0.543
306,-1.8828,47.84,0.00016,0.5419
307,-1.7703,44.35,0.000155,0.5408
308,-1.6531,37.95,0.00015,0.5398
309,-1.9719,46.77,0.000161,0.5387
310,-2.0125,48.73,0.00015,0.5376
311,-2.2141,58.87,0.000169,0.5365
312,-1.9469,51.36,0.000158,0.5355
313,-2.4062,64.83,0.000168,0.5344
314,-1.6672,43.04,0.000164,0.5333
315,-2.0875,61.54,0.000164,0.5323
316,-2.6219,95.5,0.000156,0.5312
317,-2.8047,98.25,0.000175,0.5301
318,-2.2125,65.51,0.000173,0.5291
319,-2.0578,58.77,0.000155,0.528
320,-2.0172,58.8,0.000142,0.527
321,-2.275,61.2,0.000168,0.5259
322,-1.8859,45.48,0.000161,0.5248
323,-2.2563,68.72,0.000147,0.5238
324,-2.0875,70.71,0.000154,0.5228
325,-2.2016,54.36,0.000166,0.5217
326,-2.0047,54.53,0.000151,0.5207
327,-1.9812,51.92,0.000153,0.5196
328,-2.0297,55.76,0.000135,0.5186
329,-1.6703,39.98,0.000172,0.5175
330,-1.9719,47.75,0.000161,0.5165
331,-1.7281,39.17,0.000162,0.5155
332,-2.3781,60.28,0.000172,0.5144
333,-1.9094,41.91,0.000154,0.5134
334,-1.8203,43.23,0.000176,0.5124
335,-2.2938,65.49,0.00017,0.5114
336,-1.9234,45.36,0.000164,0.5103
337,-1.9844,46.75,0.000179,0.5093
338,-1.6891,38.72,0.000157,0.5083
339,-2.0875,54.72,0.000178,0.5073
